Date,Description,Amount
2026-05-01,Netflix Subscription,-1100
2026-05-03,Spotify Premium,-650
2026-05-05,Internet Bill,-3200
2026-05-07,Mobile Package,-1000
2026-05-10,PTCL Bill,-2500
2026-05-15,Salary Credit,85000
2026-05-20,KFC Order,-1450
2026-05-22,JazzCash Transfer,-5000
2026-06-01,Netflix Subscription,-1100
2026-06-02,Electricity Bill,-4200
2026-06-03,Spotify Premium,-650
2026-06-05,Internet Bill,-3200
2026-06-07,Mobile Package,-1000
2026-06-08,Fuel Station,-6000
2026-06-10,PTCL Bill,-2500
2026-06-12,Foodpanda Order,-850
2026-06-12,Foodpanda Order,-850
2026-06-12,Foodpanda Order,-850
2026-06-18,Pharmacy Purchase,-1200
2026-06-25,ATM Withdrawal,-10000
